11/26/2014 10:51:10 PM | csv2ora | INFO | Counting lines in input file...
11/26/2014 10:51:10 PM | csv2ora | INFO | Done.
11/26/2014 10:51:10 PM | csv2ora | INFO | Estimated line count: 435
11/26/2014 10:51:10 PM | csv2ora | WARNING | Overriding num_of_shards 3->4.
11/26/2014 10:51:10 PM | csv2ora | INFO | Starting Thread-0
11/26/2014 10:51:10 PM | csv2ora | INFO | Starting Thread-1
11/26/2014 10:51:10 PM | csv2ora | INFO | Starting Thread-2
11/26/2014 10:51:10 PM | csv2ora | INFO | Thread-0 processing Shard-0
11/26/2014 10:51:10 PM | csv2ora | INFO | Thread-1 processing Shard-1
11/26/2014 10:51:10 PM | csv2ora | INFO | Thread-2 processing Shard-2
11/26/2014 10:51:10 PM | csv2ora | INFO | Loading data...
11/26/2014 10:51:10 PM | csv2ora | INFO | Loading data...
11/26/2014 10:51:10 PM | csv2ora | INFO | Loading data...
11/26/2014 10:51:10 PM | csv2ora | INFO | SQL*Loader status =0
11/26/2014 10:51:10 PM | csv2ora | INFO | Done.
11/26/2014 10:51:10 PM | csv2ora | INFO | Thread-0 exit status 0
11/26/2014 10:51:10 PM | csv2ora | INFO | Thread-0 processing Shard-3
11/26/2014 10:51:10 PM | csv2ora | INFO | Loading data...
11/26/2014 10:51:10 PM | csv2ora | INFO | SQL*Loader status =0
11/26/2014 10:51:10 PM | csv2ora | INFO | Done.
11/26/2014 10:51:10 PM | csv2ora | INFO | Thread-2 exit status 0
11/26/2014 10:51:10 PM | csv2ora | INFO | Exiting Thread-2
11/26/2014 10:51:11 PM | csv2ora | INFO | SQL*Loader status =0
11/26/2014 10:51:11 PM | csv2ora | INFO | Done.
11/26/2014 10:51:11 PM | csv2ora | INFO | Thread-1 exit status 0
11/26/2014 10:51:11 PM | csv2ora | INFO | Exiting Thread-1
11/26/2014 10:51:11 PM | csv2ora | INFO | SQL*Loader status =0
11/26/2014 10:51:11 PM | csv2ora | INFO | Done.
11/26/2014 10:51:11 PM | csv2ora | INFO | Thread-0 exit status 0
11/26/2014 10:51:11 PM | csv2ora | INFO | Exiting Thread-0
11/26/2014 10:51:11 PM | csv2ora | INFO | Shard-0/0:         102 rows
11/26/2014 10:51:11 PM | csv2ora | INFO | Shard-1/0:         102 rows
11/26/2014 10:51:11 PM | csv2ora | INFO | Shard-2/0:         102 rows
11/26/2014 10:51:11 PM | csv2ora | INFO | Shard-3/0:         128 rows
11/26/2014 10:51:11 PM | csv2ora | INFO | TOTAL Bytes:      174928 Bytes
11/26/2014 10:51:11 PM | csv2ora | INFO | TOTAL Rows:          434 Rows
11/26/2014 10:51:11 PM | csv2ora | INFO | Done.
11/26/2014 10:51:11 PM | csv2ora | INFO | Elapsed: 00:00:01
