11/21/2014 07:22:07 PM | csv2ora | INFO | Counting lines in input file...
11/21/2014 07:22:07 PM | csv2ora | INFO | Done.
11/21/2014 07:22:07 PM | csv2ora | INFO | Estimated line count: 1580
11/21/2014 07:22:07 PM | csv2ora | INFO | Counting lines in input file...
11/21/2014 07:22:07 PM | csv2ora | INFO | Done.
11/21/2014 07:22:07 PM | csv2ora | INFO | Estimated line count: 584
11/21/2014 07:22:07 PM | csv2ora | INFO | Counting lines in input file...
11/21/2014 07:22:07 PM | csv2ora | INFO | Done.
11/21/2014 07:22:07 PM | csv2ora | INFO | Estimated line count: 348
11/21/2014 07:22:07 PM | csv2ora | WARNING | Overriding num_of_shards 3->5.
11/21/2014 07:22:07 PM | csv2ora | WARNING | Skipping CSV file header (1 rows)
11/21/2014 07:22:07 PM | csv2ora | INFO | Starting Thread-0
11/21/2014 07:22:07 PM | csv2ora | INFO | Starting Thread-1
11/21/2014 07:22:07 PM | csv2ora | INFO | Starting Thread-2
11/21/2014 07:22:07 PM | csv2ora | INFO | Thread-1 processing Shard-0
11/21/2014 07:22:07 PM | csv2ora | INFO | Thread-0 processing Shard-1
11/21/2014 07:22:07 PM | csv2ora | INFO | Thread-2 processing Shard-2
11/21/2014 07:22:07 PM | csv2ora | INFO | Loading data...
11/21/2014 07:22:07 PM | csv2ora | INFO | Loading data...
11/21/2014 07:22:07 PM | csv2ora | INFO | Loading data...
11/21/2014 07:22:08 PM | csv2ora | INFO | SQL*Loader status =0
11/21/2014 07:22:08 PM | csv2ora | INFO | Done.
11/21/2014 07:22:08 PM | csv2ora | INFO | Thread-0 exit status 0
11/21/2014 07:22:08 PM | csv2ora | INFO | Thread-0 processing Shard-3
11/21/2014 07:22:08 PM | csv2ora | INFO | Loading data...
11/21/2014 07:22:08 PM | csv2ora | INFO | SQL*Loader status =0
11/21/2014 07:22:08 PM | csv2ora | INFO | Done.
11/21/2014 07:22:08 PM | csv2ora | INFO | Thread-2 exit status 0
11/21/2014 07:22:08 PM | csv2ora | INFO | Thread-2 processing Shard-4
11/21/2014 07:22:08 PM | csv2ora | INFO | Loading data...
11/21/2014 07:22:08 PM | csv2ora | INFO | SQL*Loader status =0
11/21/2014 07:22:08 PM | csv2ora | INFO | Done.
11/21/2014 07:22:08 PM | csv2ora | INFO | Thread-1 exit status 0
11/21/2014 07:22:08 PM | csv2ora | INFO | Exiting Thread-1
11/21/2014 07:22:09 PM | csv2ora | INFO | SQL*Loader status =0
11/21/2014 07:22:09 PM | csv2ora | INFO | Done.
11/21/2014 07:22:09 PM | csv2ora | INFO | Thread-0 exit status 0
11/21/2014 07:22:09 PM | csv2ora | INFO | Exiting Thread-0
11/21/2014 07:22:09 PM | csv2ora | INFO | SQL*Loader status =0
11/21/2014 07:22:09 PM | csv2ora | INFO | Done.
11/21/2014 07:22:09 PM | csv2ora | INFO | Thread-2 exit status 0
11/21/2014 07:22:09 PM | csv2ora | INFO | Exiting Thread-2
11/21/2014 07:22:09 PM | csv2ora | INFO | Shard-0/0:         509 rows
11/21/2014 07:22:09 PM | csv2ora | INFO | Shard-1/0:         512 rows
11/21/2014 07:22:09 PM | csv2ora | INFO | Shard-2/0:         542 rows
11/21/2014 07:22:09 PM | csv2ora | INFO | Shard-3/0:         577 rows
11/21/2014 07:22:09 PM | csv2ora | INFO | Shard-4/0:         347 rows
11/21/2014 07:22:09 PM | csv2ora | INFO | TOTAL Bytes:      567919 Bytes
11/21/2014 07:22:09 PM | csv2ora | INFO | TOTAL Rows:         2487 Rows
11/21/2014 07:22:09 PM | csv2ora | INFO | Done.
11/21/2014 07:22:09 PM | csv2ora | INFO | Elapsed: 00:00:02
